['13:30:04.702]', 4019]

['13:32:05.746]', 4018]

['13:34:06.775]', 4018]

['13:41:10.408]', 4019]

['13:44:11.748]', 4019]

['13:54:17.023]', 4024]

['14:03:21.360]', 4023]

['14:08:23.799]', 4025]

['14:10:24.942]', 4023]

['14:12:26.023]', 4025]

['14:14:26.980]', 4026]

['14:16:27.898]', 4026]

['14:18:28.955]', 4026]

['14:32:36.437]', 4027]

['14:34:37.546]', 4028]

['14:37:38.915]', 4028]

['15:04:49.726]', 4026]

['15:19:55.758]', 4027]

['15:21:56.587]', 4028]

['15:23:57.309]', 4029]

['15:25:58.529]', 4026]

['15:28:59.777]', 4028]

['15:31:00.944]', 4027]

['15:36:03.316]', 4027]

['15:38:04.259]', 4027]

['15:40:05.020]', 4027]

['15:44:07.152]', 4027]

['15:47:08.613]', 4024]

['15:49:09.941]', 4027]

['16:20:23.067]', 4025]

['16:22:23.824]', 4025]

['16:24:24.689]', 4025]

['16:27:26.527]', 4022]

['16:30:27.615]', 4024]

['16:32:28.464]', 4026]

['16:34:29.449]', 4023]

['16:36:30.254]', 4023]

['16:38:30.913]', 4024]

['16:40:31.654]', 4026]

['16:42:32.290]', 4025]

['16:44:33.236]', 4024]

['16:46:33.923]', 4024]

['16:48:34.567]', 4013]

['16:52:36.376]', 4021]

['16:54:37.513]', 4023]

['16:56:38.452]', 4015]

['16:58:39.154]', 4024]

['17:01:40.331]', 4023]

['17:03:40.884]', 4023]

['17:05:41.640]', 4024]

['17:07:42.435]', 3928]

['17:09:43.049]', 4021]

['17:11:44.013]', 4020]

['17:23:49.871]', 4022]

['17:25:50.826]', 4020]

['17:27:51.998]', 4021]

['17:29:52.848]', 4021]

['17:31:53.907]', 4020]

['17:33:54.653]', 4021]

['17:35:55.545]', 4019]

['17:37:56.391]', 4013]

['17:39:57.092]', 4019]

['17:41:57.997]', 4021]

['17:43:59.411]', 4020]

['17:46:00.779]', 4020]

['17:48:02.063]', 4020]

['17:50:03.263]', 4017]

['17:52:04.389]', 4018]

['17:54:05.638]', 4013]

['17:56:06.712]', 4013]

['17:58:08.010]', 4019]

['18:00:08.985]', 4017]

['18:02:10.060]', 4018]

['18:04:11.294]', 4017]

['18:15:17.638]', 4017]

['18:17:18.919]', 4017]

['18:36:28.151]', 4016]

['19:10:45.812]', 4009]

['19:13:47.763]', 4014]

['19:15:49.029]', 4013]

['19:17:50.403]', 4012]

['19:27:55.067]', 4011]

['19:29:56.101]', 4012]

['19:31:57.104]', 4013]

['19:33:58.092]', 4012]

['19:35:58.979]', 4012]

['19:37:59.907]', 4011]

['19:40:01.037]', 4012]

['19:42:02.177]', 4010]

['19:44:02.853]', 4012]

['19:46:03.702]', 4011]

['19:48:04.673]', 4011]

['19:50:05.593]', 4012]

['19:52:06.573]', 4012]

['19:54:07.559]', 4012]

['20:22:21.494]', 4010]

['20:25:23.071]', 4008]

['20:27:23.964]', 4011]

